# how number of annotated sentences affect classifier results
n	p	sdev
10	0.2410692755520342	0.07287284182971036
20	0.2618071583588826	0.08123710650871395
30	0.27506975782837845	0.08464854816626143
40	0.2677322677322678	0.06904842210786274
50	0.2879534258844604	0.07769883400618985
60	0.30269730269730266	0.0731437493586206
70	0.29942471321781644	0.055621317553020876
80	0.314168590030659	0.0681952136123627
90	0.30510868441902916	0.05687440027079045
100	0.3245030831237728	0.06355361290948204
110	0.3250542560887389	0.05487727199046014
120	0.3288780185331908	0.055654867538714535
130	0.3341141617003686	0.04968313451149265
140	0.34396637844913713	0.052106232229667544
150	0.3436907919666541	0.04635119681335125
160	0.34276068758827366	0.037004605188712826
170	0.3548175961969065	0.046596099176634265
180	0.36174170656929266	0.04559332450284975
190	0.36325743222294943	0.045664220695726156
200	0.3575045644011162	0.03630547938310922
210	0.361121636983706	0.03467861969186394
220	0.36659891832305624	0.03914907624166705
230	0.36415308829101933	0.03521028512198318
240	0.3680801956664024	0.04210150102942527
250	0.36408419167039857	0.036354997805552854
260	0.3661510902890213	0.03811440509692236
270	0.36880361018292046	0.04253355068530794
280	0.3657377105652968	0.04202445370904943
290	0.36845912707981676	0.043695559957782064
300	0.3617417065692928	0.033883726457903725
310	0.36284405249922497	0.03513146710558004
320	0.37207619966240657	0.03950420721395592
330	0.36329188053325995	0.041003185756136
340	0.36150056839712025	0.037854727663061014
350	0.36828688552826483	0.04256144154121356
360	0.3677012642529887	0.038641362351157595
370	0.3586069103310483	0.032130099873511106
380	0.362844052499225	0.0369209719628131
390	0.360673808949671	0.0378018686620648
400	0.3625340177064314	0.03777903959577276
410	0.37069826724999116	0.042440066650023645
420	0.3562299769196321	0.03576789807382559
430	0.3604326707774986	0.03793480089672552
440	0.3611560852940163	0.0365267115529937
450	0.3615350167074306	0.03899067881850308
460	0.3714561300768196	0.04061132911157762
470	0.36005373936408425	0.035686454349898186
480	0.36336077715388054	0.03856626422342133
490	0.36291294911984573	0.03938480003090541
