# how number of annotated sentences affect classifier results
n	p	sdev
5	0.3342891278375149	0.11478192669576252
15	0.47813620071684576	0.05061990022319136
25	0.5046594982078852	0.045574713477426046
35	0.5173237753882917	0.04756458316757462
45	0.5519713261648747	0.03827655681368614
55	0.5792114695340501	0.03611366800805734
65	0.604778972520908	0.040113489477273875
75	0.6265232974910395	0.029616137522414713
85	0.6231780167264039	0.027699495299665203
95	0.6387096774193549	0.025914636724180335
105	0.663321385902031	0.020510646340621188
115	0.6606929510155315	0.024125529411648312
125	0.6733572281959378	0.021808562406890577
135	0.6814814814814812	0.016616811135688143
