# how number of annotated sentences affect classifier results
n	p	sdev
10	0.3009748871817837	0.06341946090759092
20	0.3457576905852767	0.057327225750925095
30	0.3845809363050742	0.06532084567973616
40	0.41358641358641346	0.04748654282226871
50	0.44758689586275807	0.051587054929698895
60	0.4580247338868026	0.04681237659380067
70	0.48138068827724	0.04605833131167093
80	0.49378207998897644	0.04549251215650821
90	0.5093527162492678	0.03393303700019519
100	0.5291949429880463	0.036819394456202276
110	0.5436287850080952	0.037303527920005124
120	0.5491749629680662	0.03383280078438894
130	0.5608873884735955	0.03258515182906912
140	0.5744600227358849	0.03015968749281784
150	0.5813496847979606	0.02906816927881207
160	0.5922353508560404	0.02701946801440634
170	0.5937855248200075	0.028440246266667156
180	0.6049123290502598	0.026221206615950444
190	0.608598298253471	0.023899084754368714
200	0.6189327913465844	0.0221868513833162
210	0.6195873092424815	0.02269769862355492
220	0.6170381342795134	0.02534506192210315
230	0.621068586585828	0.019830740644190038
240	0.6191394812084469	0.023611797660641393
250	0.6226532088601053	0.02190490015720993
260	0.6201040338971371	0.02536485955533096
270	0.6182093768300666	0.020925980459808646
280	0.6220331392745186	0.019469726646409585
290	0.6175893072444797	0.02255030702713196
300	0.6172448241413759	0.022399243943705256
310	0.617072582589824	0.02279051890348035
320	0.6158668917289609	0.026088494836027015
330	0.6179682386578937	0.021704622579641602
340	0.6195873092424817	0.02213892965381027
350	0.6192083778290677	0.026499327720545647
360	0.6238244514106585	0.02174335213785405
370	0.6250645905818323	0.02202893355093648
380	0.6217575527920353	0.02216255543347331
390	0.617244824141376	0.02139314956594926
400	0.6215164146198627	0.02094825514131715
410	0.6187949981053428	0.020636866887330636
420	0.6202762754486892	0.02150468708534722
430	0.6187605497950325	0.025163352989366575
440	0.6217231044817254	0.021026566859958278
450	0.6206207585517931	0.021108186331031044
460	0.6203451720693102	0.020190236664544947
470	0.6202073788280682	0.02094355279258757
480	0.6223431740673119	0.021913241435510482
490	0.6174515140032385	0.01969750648330166
