# pr curve of bigram with 51 51
thresh	p	r
0.30	0.4753421103101275	0.9870733478576617
0.35	0.4635637216846814	0.9466957153231662
0.40	0.48498960973095334	0.9462599854756719
0.45	0.4949300896926097	0.9561365286855483
0.50	0.5142447257158397	0.8981844589687729
0.55	0.49694492050594913	0.9077705156136531
0.60	0.5213604514000936	0.8743645606390705
0.65	0.5707571507668149	0.7228758169934641
0.70	0.5826817772145798	0.6078431372549019
0.75	0.5991978181339768	0.5295570079883807
0.80	0.6178474331987641	0.45403050108932463
0.85	0.6176605283602272	0.4383442265795206
0.90	0.6616528764867557	0.367610748002905
0.95	0.6511962397750587	0.21641249092229475
1.00	0.6790447912646611	0.20029048656499626
