# pr curve of unigram with 51 51
thresh	p	r
0.30	0.6092392723989662	0.9953522149600584
0.35	0.6099251168659052	0.9940450254175746
0.40	0.6082616457096063	0.9812636165577343
0.45	0.6156872338648769	0.9604938271604935
0.50	0.6212074233281595	0.9251997095134353
0.55	0.631741111989288	0.8884531590413943
0.60	0.64423655496439	0.8681190994916484
0.65	0.6461433253714768	0.8252723311546839
0.70	0.6665463993604551	0.7837327523602031
0.75	0.6712470293806967	0.7398692810457517
0.80	0.6838510946393828	0.6816267247639796
0.85	0.6917120861031557	0.5986928104575165
0.90	0.7132772056248895	0.5623819898329705
0.95	0.7168176139634883	0.5413217138707336
1.00	0.7178282487005229	0.5523602033405955
