t p r pp pr np nr
0.0 0.7051482059282371 1.0 0.7419154228855721 1.0 0.6121164437450826 1.0
0.05 0.7198614318706698 0.941461595824 0.7544949329846355 0.951181592039801 0.6365066876475216 1.0
0.1 0.7397959183673469 0.861670395227 0.7676625659050966 0.884639303482587 0.6774193548387096 1.0
0.15 0.7541443509308849 0.788963460104 0.770188679245283 0.8240049751243781 0.7206923682140047 1.0
0.2 0.7700320512820513 0.722967934377 0.7780024262029923 0.7689676616915423 0.7545239968528717 1.0
0.25 0.7929193593706098 0.65398956003 0.8002622377622378 0.7114427860696517 0.7797010228166797 1.0
0.3 0.8135643860173289 0.574944071588 0.8159922928709056 0.6455223880597015 0.8095987411487018 1.0
0.35 0.834238262535931 0.494407158837 0.8311827956989247 0.5783582089552238 0.8387096774193549 1.0
0.4 0.8918278720884327 0.271439224459 0.8589540412044374 0.39241293532338306 0.9244689221085759 1.0
0.43 0.949584487534626 0.0 0.8801498127340824 0.166044776119403 0.978756884343037 1.0
