t p r pp pr np nr
0.0 0.7178515712057054 1.0 0.7204601990049752 1.0 0.7112509834775768 1.0
0.05 0.7178515712057054 1.0 0.7204601990049752 1.0 0.7112509834775768 1.0
0.1 0.7178515712057054 1.0 0.7204601990049752 1.0 0.7112509834775768 1.0
0.15 0.7178515712057054 1.0 0.7204601990049752 1.0 0.7112509834775768 1.0
0.2 0.7178515712057054 1.0 0.7204601990049752 1.0 0.7112509834775768 1.0
0.25 0.7178515712057054 1.0 0.7204601990049752 1.0 0.7112509834775768 1.0
0.3 0.7427298311444653 0.9503008691776242 0.7393919144670899 0.9306592039800995 0.7505900865460268 1.0
0.35 0.7650273224043715 0.8972587474927568 0.7553539019963702 0.8566542288557214 0.7859952793076318 1.0
0.4 0.7935866343303691 0.8270559393804323 0.7770491803278688 0.7587064676616916 0.8253343823760818 1.0
0.43 0.817947247706422 0.7773568085580566 0.7916102841677943 0.6893656716417911 0.8638867033831629 1.0
