t p r pp pr np nr
0.0 0.7479384889681302 1.0 0.7658582089552238 1.0 0.7025963808025177 1.0
0.05 0.7872648335745297 0.877952755906 0.7972173913043479 0.8939676616915423 0.7647521636506688 1.0
0.1 0.8134252169474222 0.796349319971 0.8194182092935398 0.8230721393034826 0.8009441384736428 1.0
0.15 0.8353228431904504 0.71331424481 0.8405797101449275 0.7509328358208955 0.8253343823760818 1.0
0.2 0.8564760793465578 0.620973514674 0.857209086694483 0.6707089552238806 0.8552321007081038 1.0
0.25 0.8763866877971473 0.523264137437 0.8678343949044586 0.585820895522388 0.8890637293469709 1.0
0.3 0.8920317350810625 0.431639226915 0.8783783783783784 0.5062189054726368 0.9095200629425649 1.0
0.35 0.9206649036645259 0.341445955619 0.90625 0.42786069651741293 0.9362706530291109 1.0
0.4 0.9484902309058615 0.200071581961 0.9276248725790011 0.3050373134328358 0.964594807238395 1.0
0.43 0.9793266391021854 0.0 0.933649289099526 0.13121890547263682 0.994492525570417 1.0
