t p r pp pr np nr
0.0 0.7515043458881212 1.0 0.8128109452736318 1.0 0.5963808025177026 1.0
0.05 0.759567762269248 0.9824287387739165 0.8136234626300851 0.9860074626865671 0.6247049567269867 1.0
0.1 0.7857654645330786 0.8828582584927763 0.8196159122085048 0.9067164179104478 0.7081038552321007 1.0
0.15 0.8327077747989277 0.7044123389301054 0.8446522976819846 0.7646144278606966 0.8095987411487018 1.0
0.2 0.8740942028985508 0.5411948457633737 0.8907398334149926 0.634639303482587 0.8473642800944139 1.0
0.25 0.8869482375357256 0.477547832877782 0.9116080937167199 0.5839552238805971 0.8505114083398898 1.0
0.3 0.8908450704225352 0.4677860210855134 0.9125742039935241 0.576181592039801 0.8591660110149488 1.0
0.35 0.9047940580688724 0.40452948067161265 0.9142519219396806 0.5258084577114428 0.8922108575924469 1.0
0.4 0.9337881219903692 0.22100741897696208 0.9172809172809173 0.37966417910447764 0.9496459480723839 1.0
0.43 0.9527518172377986 0.0 0.9099236641221374 0.20366915422885573 0.974822974036192 1.0
