t p r pp pr np nr
0.0 0.7223088923556942 1.0 0.7282338308457711 1.0 0.7073170731707317 1.0
0.05 0.7223088923556942 1.0 0.7282338308457711 1.0 0.7073170731707317 1.0
0.1 0.7223088923556942 1.0 0.7282338308457711 1.0 0.7073170731707317 1.0
0.15 0.7223088923556942 1.0 0.7282338308457711 1.0 0.7073170731707317 1.0
0.2 0.7223088923556942 1.0 0.7282338308457711 1.0 0.7073170731707317 1.0
0.25 0.7223088923556942 1.0 0.7282338308457711 1.0 0.7073170731707317 1.0
0.3 0.7468564650059312 0.7592920353982301 0.7455842391304348 0.9154228855721394 0.7498033044846577 1.0
0.35 0.775172062197298 0.5008849557522124 0.7662141779788839 0.8246268656716418 0.7938630999213218 1.0
0.4 0.8069100027862914 0.20530973451327422 0.7916307161345988 0.720771144278607 0.8347757671125098 1.0
0.43 0.8275245755138516 0.0 0.8068072866730585 0.6486318407960199 0.8615263571990559 1.0
