t p r pp pr np nr
0.0 0.6748384221083129 1.0 0.785136815920398 1.0 0.3957513768686074 1.0
0.05 0.6864483856298318 0.9719949653870359 0.7982091461464662 0.9723258706467661 0.4114870180959874 1.0
0.1 0.6940437412750117 0.9405286343612336 0.8074000660720185 0.941231343283582 0.4240755310778914 1.0
0.15 0.7573600776447752 0.5607300188797986 0.7708791208791209 0.5659203980099502 0.7380015735641228 1.0
0.2 0.7678752965096577 0.5166771554436753 0.7755952380952381 0.5223880597014925 0.7576711250983478 1.0
0.25 0.80849532037437 0.4622404027690371 0.8287989382879893 0.4685945273631841 0.7844217151848938 1.0
0.3 0.8246520874751491 0.37948395217117675 0.8207395498392283 0.38681592039800994 0.8284815106215578 1.0
0.35 0.8417825020441537 0.35777218376337316 0.843404255319149 0.36536069651741293 0.8402832415420929 1.0
0.4 0.9365168539325842 0.14820641913152927 0.8939096267190569 0.15827114427860697 0.953579858379229 1.0
0.43 0.9969442322383499 0.0 0.9473684210526315 0.01181592039800995 0.998426435877262 1.0
