t p r pp pr np nr
0.0 0.7539558725206151 1.0 0.8078358208955224 1.0 0.6176239181746657 1.0
0.05 0.7809478896486678 0.9451749498551371 0.8178451178451178 0.9235074626865671 0.6947285601888277 1.0
0.1 0.808229616459233 0.8774236683753064 0.8225806451612904 0.8289800995024875 0.7781274586939417 1.0
0.15 0.8186753528773073 0.8210385558279474 0.8205553253211769 0.7503109452736318 0.8151062155782848 1.0
0.2 0.8274422488171445 0.8007577445954981 0.8316106804478898 0.7220149253731343 0.8198269079464988 1.0
0.25 0.8467974610502019 0.7724537552930688 0.8546697038724373 0.6825248756218906 0.8332022029897719 1.0
0.3 0.8766412213740458 0.7298863383106753 0.8907185628742516 0.6231343283582089 0.8544453186467349 1.0
0.35 0.9008949287371562 0.672386895475819 0.9169530355097365 0.542910447761194 0.8788355625491738 1.0
0.4 0.9278115501519757 0.5865834633385335 0.9206465833945628 0.42319651741293535 0.9354838709677419 1.0
0.43 0.9474137931034483 0.5170492533987073 0.9285033365109628 0.326181592039801 0.963021243115657 1.0
