t p r pp pr np nr
0.0 0.742812569645643 1.0 0.7633706467661692 1.0 0.6907946498819827 1.0
0.05 0.7926129273770901 0.8930242924002675 0.8026315789473685 0.8507462686567164 0.7710464201416207 1.0
0.1 0.816414686825054 0.8254958769779362 0.8191533086724209 0.7565298507462687 0.8111723052714398 1.0
0.15 0.8201320132013201 0.8103409850679741 0.8215644820295983 0.7353855721393034 0.8174665617623919 1.0
0.2 0.8201320132013201 0.8103409850679741 0.8215644820295983 0.7353855721393034 0.8174665617623919 1.0
0.25 0.8201320132013201 0.8103409850679741 0.8215644820295983 0.7353855721393034 0.8174665617623919 1.0
0.3 0.8254232583957813 0.8029864051704926 0.8254716981132075 0.7251243781094527 0.8253343823760818 1.0
0.35 0.8399078606392169 0.774013817695565 0.8351498637602179 0.6847014925373134 0.8481510621557828 1.0
0.4 0.8769828423438005 0.688433251615779 0.8613861386138614 0.5652985074626866 0.8992918961447679 1.0
0.43 0.903566229985444 0.6124359260084689 0.8774542992552471 0.45926616915422885 0.933910306845004 1.0
