t p r pp pr np nr
0.0 0.6973478939157566 1.0 0.8205845771144279 1.0 0.38552321007081036 1.0
0.05 0.6973478939157566 1.0 0.8205845771144279 1.0 0.38552321007081036 1.0
0.1 0.6973478939157566 1.0 0.8205845771144279 1.0 0.38552321007081036 1.0
0.15 0.6973478939157566 1.0 0.8205845771144279 1.0 0.38552321007081036 1.0
0.2 0.6973478939157566 1.0 0.8205845771144279 1.0 0.38552321007081036 1.0
0.25 0.6973478939157566 1.0 0.8205845771144279 1.0 0.38552321007081036 1.0
0.3 0.7515316541865215 0.654780476933363 0.7156568686262748 0.5183457711442786 0.7985837922895358 1.0
0.35 0.7653508771929824 0.6097615333184756 0.7064846416382252 0.45553482587064675 0.8332022029897719 1.0
0.4 0.8687739463601533 0.46534432805883663 0.7894736842105263 0.25404228855721395 0.919748229740362 1.0
0.43 0.886811520970187 0.44105192779139735 0.8107344632768362 0.22014925373134328 0.9291896144767899 1.0
