t p r pp pr np nr
0.0 0.7156229106307109 1.0 0.7133084577114428 1.0 0.7214791502753737 1.0
0.05 0.7156229106307109 1.0 0.7133084577114428 1.0 0.7214791502753737 1.0
0.1 0.7156229106307109 1.0 0.7133084577114428 1.0 0.7214791502753737 1.0
0.15 0.7156229106307109 1.0 0.7133084577114428 1.0 0.7214791502753737 1.0
0.2 0.7156229106307109 1.0 0.7133084577114428 1.0 0.7214791502753737 1.0
0.25 0.7156229106307109 1.0 0.7133084577114428 1.0 0.7214791502753737 1.0
0.3 0.7406436233611442 0.9349231112101627 0.7318741450068399 0.9092039800995025 0.7608182533438238 1.0
0.35 0.7658922644881286 0.8729663472253176 0.7498110355253212 0.8227611940298507 0.7993705743509048 1.0
0.4 0.8005043429532082 0.7954089592155115 0.77763272410792 0.7145522388059702 0.8418568056648308 1.0
0.43 0.8240601503759398 0.7410296411856474 0.7964946445959105 0.638681592039801 0.8686073957513769 1.0
