t p r pp pr np nr
0.0 0.821261421885 1.0 0.872823383085 1.0 0.690794649882 1.0
0.05 0.849813200498 0.89480722086 0.902574808629 0.893656716418 0.716914986854 0.897718332022
0.1 0.867630700779 0.801426342768 0.918866459627 0.800995024876 0.738235294118 0.802517702596
0.15 0.879824286163 0.710274125251 0.92710606722 0.712375621891 0.758928571429 0.704956726987
0.2 0.891862567812 0.616224648986 0.934143870314 0.613805970149 0.786346396966 0.622344610543
0.25 0.900467886006 0.523958101181 0.942563482467 0.514303482587 0.800573888092 0.548387096774
0.3 0.911099421357 0.423668375306 0.947289156627 0.412935323383 0.82722513089 0.450826121164
0.35 0.914478114478 0.330956095387 0.949069539667 0.317475124378 0.838362068966 0.365066876475
0.4 0.935700575816 0.232226431914 0.964739069111 0.220460199005 0.873873873874 0.261998426436
0.45 0.95810564663 0.122353465567 0.983286908078 0.111629353234 0.910526315789 0.14948859166
#0.499 0.958333333333 0.00534878537999 0.923076923077 0.00404228855721 1.0 0.00865460267506
